,submissionid,assignid,userid,reviewedbyid,grade,score,maxscore,abs_error,reviewer_avg_error_all,reviewer_review_count,reviewer_std_dev_error,reviewer_avg_error_on_assign,reviewer_review_count_on_assign
25,9,1,209,104,76,78,100,2,5.454545454545454,11,3.958879547640629,4.666666666666667,3
26,9,1,209,107,76,84,100,8,5.7272727272727275,11,2.7961011816781274,6.5,2
27,10,1,210,102,95,99,100,4,5.1,20,2.84512510131018,4.2,5
28,10,1,210,109,95,95,100,0,5.235294117647059,17,3.011009211309098,5.6,5
29,10,1,210,106,95,88,100,7,5.0,18,2.9505732244669303,4.25,4
30,11,2,201,109,88,83,100,5,5.235294117647059,17,3.011009211309098,5.75,4
31,11,2,201,110,88,89,100,1,4.615384615384615,13,2.9871519752227074,4.0,3
32,11,2,201,105,88,89,100,1,5.071428571428571,14,2.6447127432871596,2.3333333333333335,3
33,12,2,202,102,92,100,100,8,5.1,20,2.84512510131018,6.0,2
34,12,2,202,103,92,94,100,2,5.333333333333333,12,3.200378765462651,5.666666666666667,3
35,12,2,202,108,92,90,100,2,5.181818181818182,22,3.2606800873490536,6.0,4
36,13,2,203,104,80,81,100,1,5.454545454545454,11,3.958879547640629,5.5,2
37,13,2,203,102,80,84,100,4,5.1,20,2.84512510131018,6.0,2
38,13,2,203,109,80,78,100,2,5.235294117647059,17,3.011009211309098,5.75,4
39,14,2,204,103,80,71,100,9,5.333333333333333,12,3.200378765462651,5.666666666666667,3
40,14,2,204,107,80,72,100,8,5.7272727272727275,11,2.7961011816781274,7.666666666666667,3
41,14,2,204,108,80,86,100,6,5.181818181818182,22,3.2606800873490536,6.0,4
42,15,2,205,110,93,87,100,6,4.615384615384615,13,2.9871519752227074,4.0,3
43,15,2,205,106,93,83,100,10,5.0,18,2.9505732244669303,4.75,4
44,15,2,205,104,93,83,100,10,5.454545454545454,11,3.958879547640629,5.5,2
45,16,2,206,101,90,96,100,6,6.0,12,2.9848100289785457,4.0,2
46,16,2,206,106,90,85,100,5,5.0,18,2.9505732244669303,4.75,4
47,16,2,206,108,90,84,100,6,5.181818181818182,22,3.2606800873490536,6.0,4
48,17,2,207,110,73,78,100,5,4.615384615384615,13,2.9871519752227074,4.0,3
49,17,2,207,109,73,65,100,8,5.235294117647059,17,3.011009211309098,5.75,4
50,17,2,207,107,73,82,100,9,5.7272727272727275,11,2.7961011816781274,7.666666666666667,3
51,18,2,208,101,77,75,100,2,6.0,12,2.9848100289785457,4.0,2
52,18,2,208,108,77,67,100,10,5.181818181818182,22,3.2606800873490536,6.0,4
53,18,2,208,106,77,74,100,3,5.0,18,2.9505732244669303,4.75,4
54,19,2,209,106,93,92,100,1,5.0,18,2.9505732244669303,4.75,4
55,19,2,209,109,93,85,100,8,5.235294117647059,17,3.011009211309098,5.75,4
56,19,2,209,105,93,89,100,4,5.071428571428571,14,2.6447127432871596,2.3333333333333335,3
57,20,2,210,107,72,66,100,6,5.7272727272727275,11,2.7961011816781274,7.666666666666667,3
58,20,2,210,103,72,66,100,6,5.333333333333333,12,3.200378765462651,5.666666666666667,3
59,20,2,210,105,72,70,100,2,5.071428571428571,14,2.6447127432871596,2.3333333333333335,3
60,21,3,201,102,91,88,100,3,5.1,20,2.84512510131018,6.4,5
61,21,3,201,105,91,84,100,7,5.071428571428571,14,2.6447127432871596,6.6,5
62,21,3,201,107,91,86,100,5,5.7272727272727275,11,2.7961011816781274,5.666666666666667,3
63,22,3,202,102,90,97,100,7,5.1,20,2.84512510131018,6.4,5
64,22,3,202,109,90,93,100,3,5.235294117647059,17,3.011009211309098,3.5,2
65,22,3,202,105,90,97,100,7,5.071428571428571,14,2.6447127432871596,6.6,5
66,23,3,203,108,71,76,100,5,5.181818181818182,22,3.2606800873490536,5.25,4
67,23,3,203,110,71,80,100,9,4.615384615384615,13,2.9871519752227074,7.0,2
68,23,3,203,107,71,68,100,3,5.7272727272727275,11,2.7961011816781274,5.666666666666667,3
69,24,3,204,106,93,96,100,3,5.0,18,2.9505732244669303,5.0,4
70,24,3,204,110,93,88,100,5,4.615384615384615,13,2.9871519752227074,7.0,2
71,24,3,204,102,93,88,100,5,5.1,20,2.84512510131018,6.4,5
72,25,3,205,109,81,85,100,4,5.235294117647059,17,3.011009211309098,3.5,2
73,25,3,205,104,81,71,100,10,5.454545454545454,11,3.958879547640629,6.25,4
74,25,3,205,105,81,75,100,6,5.071428571428571,14,2.6447127432871596,6.6,5
75,26,3,206,108,99,100,100,1,5.181818181818182,22,3.2606800873490536,5.25,4
76,26,3,206,106,99,94,100,5,5.0,18,2.9505732244669303,5.0,4
77,26,3,206,102,99,91,100,8,5.1,20,2.84512510131018,6.4,5
78,27,3,207,106,75,65,100,10,5.0,18,2.9505732244669303,5.0,4
79,27,3,207,102,75,84,100,9,5.1,20,2.84512510131018,6.4,5
80,27,3,207,104,75,65,100,10,5.454545454545454,11,3.958879547640629,6.25,4
81,28,3,208,108,71,78,100,7,5.181818181818182,22,3.2606800873490536,5.25,4
82,28,3,208,104,71,75,100,4,5.454545454545454,11,3.958879547640629,6.25,4
83,28,3,208,105,71,62,100,9,5.071428571428571,14,2.6447127432871596,6.6,5
84,29,3,209,105,97,93,100,4,5.071428571428571,14,2.6447127432871596,6.6,5
85,29,3,209,104,97,96,100,1,5.454545454545454,11,3.958879547640629,6.25,4
86,29,3,209,108,97,89,100,8,5.181818181818182,22,3.2606800873490536,5.25,4
87,30,3,210,106,90,92,100,2,5.0,18,2.9505732244669303,5.0,4
88,30,3,210,107,90,99,100,9,5.7272727272727275,11,2.7961011816781274,5.666666666666667,3
89,30,3,210,101,90,80,100,10,6.0,12,2.9848100289785457,10.0,1
90,31,4,201,106,70,78,100,8,5.0,18,2.9505732244669303,4.333333333333333,3
91,31,4,201,101,70,76,100,6,6.0,12,2.9848100289785457,7.0,5
92,31,4,201,109,70,79,100,9,5.235294117647059,17,3.011009211309098,4.8,5
93,32,4,202,108,81,82,100,1,5.181818181818182,22,3.2606800873490536,5.333333333333333,6
94,32,4,202,102,81,82,100,1,5.1,20,2.84512510131018,5.333333333333333,3
95,32,4,202,105,81,75,100,6,5.071428571428571,14,2.6447127432871596,3.6666666666666665,3
96,33,4,203,108,95,94,100,1,5.181818181818182,22,3.2606800873490536,5.333333333333333,6
97,33,4,203,102,95,100,100,5,5.1,20,2.84512510131018,5.333333333333333,3
98,33,4,203,101,95,100,100,5,6.0,12,2.9848100289785457,7.0,5
99,34,4,204,109,91,89,100,2,5.235294117647059,17,3.011009211309098,4.8,5
