,submissionid,assignid,userid,reviewedbyid,grade,score,maxscore,abs_error,reviewer_avg_error_all,reviewer_review_count,reviewer_std_dev_error,reviewer_avg_error_on_assign,reviewer_review_count_on_assign
102,35,2,215,105,98,91,100,7,5.3076923076923075,13,3.1460190554788277,8.0,3
103,35,2,215,112,98,100,100,2,6.142857142857143,28,3.6282256219839977,6.666666666666667,6
104,35,2,215,104,98,93,100,5,6.37037037037037,27,3.4322917679921647,4.0,4
105,36,2,216,102,81,80,100,1,6.296296296296297,27,3.5714122913751853,5.333333333333333,6
106,36,2,216,111,81,90,100,9,6.684210526315789,19,4.123814733134404,7.5,6
107,36,2,216,108,81,75,100,6,7.2,20,4.060075187273727,6.2,5
108,37,2,217,115,94,90,100,4,6.5,24,3.451527702085103,6.4,5
109,37,2,217,113,94,88,100,6,6.944444444444445,18,3.207935422230724,3.6666666666666665,3
110,37,2,217,101,94,82,100,12,5.5,18,3.451342449813167,8.333333333333334,3
111,38,2,218,115,86,86,100,0,6.5,24,3.451527702085103,6.4,5
112,38,2,218,107,86,88,100,2,6.625,16,3.461695153148719,2.3333333333333335,3
113,38,2,218,110,86,94,100,8,7.238095238095238,21,3.6042303187332787,6.0,2
114,39,2,219,113,96,97,100,1,6.944444444444445,18,3.207935422230724,3.6666666666666665,3
115,39,2,219,107,96,98,100,2,6.625,16,3.461695153148719,2.3333333333333335,3
116,39,2,219,115,96,84,100,12,6.5,24,3.451527702085103,6.4,5
117,40,2,220,101,96,87,100,9,5.5,18,3.451342449813167,8.333333333333334,3
118,40,2,220,112,96,91,100,5,6.142857142857143,28,3.6282256219839977,6.666666666666667,6
119,40,2,220,102,96,100,100,4,6.296296296296297,27,3.5714122913751853,5.333333333333333,6
120,41,3,201,102,79,80,100,1,6.296296296296297,27,3.5714122913751853,8.0,5
121,41,3,201,103,79,69,100,10,3.923076923076923,13,2.9569561619323586,4.333333333333333,3
122,41,3,201,110,79,72,100,7,7.238095238095238,21,3.6042303187332787,7.666666666666667,3
123,42,3,202,104,97,85,100,12,6.37037037037037,27,3.4322917679921647,9.166666666666666,6
124,42,3,202,107,97,100,100,3,6.625,16,3.461695153148719,7.0,5
125,42,3,202,112,97,85,100,12,6.142857142857143,28,3.6282256219839977,7.0,7
126,43,3,203,107,97,87,100,10,6.625,16,3.461695153148719,7.0,5
127,43,3,203,104,97,85,100,12,6.37037037037037,27,3.4322917679921647,9.166666666666666,6
128,43,3,203,115,97,100,100,3,6.5,24,3.451527702085103,5.8,5
129,44,3,204,104,85,91,100,6,6.37037037037037,27,3.4322917679921647,9.166666666666666,6
130,44,3,204,108,85,89,100,4,7.2,20,4.060075187273727,5.6,5
131,44,3,204,102,85,93,100,8,6.296296296296297,27,3.5714122913751853,8.0,5
132,45,3,205,115,84,93,100,9,6.5,24,3.451527702085103,5.8,5
133,45,3,205,112,84,74,100,10,6.142857142857143,28,3.6282256219839977,7.0,7
134,45,3,205,106,84,89,100,5,5.944444444444445,18,4.249182927993988,5.0,3
135,46,3,206,103,99,100,100,1,3.923076923076923,13,2.9569561619323586,4.333333333333333,3
136,46,3,206,110,99,93,100,6,7.238095238095238,21,3.6042303187332787,7.666666666666667,3
137,46,3,206,104,99,92,100,7,6.37037037037037,27,3.4322917679921647,9.166666666666666,6
138,47,3,207,109,99,100,100,1,5.0,23,3.6431754380934325,4.0,4
139,47,3,207,113,99,100,100,1,6.944444444444445,18,3.207935422230724,7.4,5
140,47,3,207,105,99,96,100,3,5.3076923076923075,13,3.1460190554788277,6.0,2
141,48,3,208,115,84,77,100,7,6.5,24,3.451527702085103,5.8,5
142,48,3,208,111,84,92,100,8,6.684210526315789,19,4.123814733134404,9.5,2
143,48,3,208,107,84,73,100,11,6.625,16,3.461695153148719,7.0,5
144,49,3,209,102,99,89,100,10,6.296296296296297,27,3.5714122913751853,8.0,5
145,49,3,209,106,99,100,100,1,5.944444444444445,18,4.249182927993988,5.0,3
146,49,3,209,101,99,100,100,1,5.5,18,3.451342449813167,2.6666666666666665,3
147,50,3,210,108,88,77,100,11,7.2,20,4.060075187273727,5.6,5
148,50,3,210,115,88,92,100,4,6.5,24,3.451527702085103,5.8,5
149,50,3,210,112,88,89,100,1,6.142857142857143,28,3.6282256219839977,7.0,7
150,51,3,211,102,81,72,100,9,6.296296296296297,27,3.5714122913751853,8.0,5
151,51,3,211,104,81,69,100,12,6.37037037037037,27,3.4322917679921647,9.166666666666666,6
152,51,3,211,101,81,76,100,5,5.5,18,3.451342449813167,2.6666666666666665,3
153,52,3,212,115,92,98,100,6,6.5,24,3.451527702085103,5.8,5
154,52,3,212,112,92,86,100,6,6.142857142857143,28,3.6282256219839977,7.0,7
155,52,3,212,114,92,82,100,10,5.066666666666666,15,3.65409098851971,7.0,2
156,53,3,213,114,89,93,100,4,5.066666666666666,15,3.65409098851971,7.0,2
157,53,3,213,109,89,83,100,6,5.0,23,3.6431754380934325,4.0,4
158,53,3,213,113,89,98,100,9,6.944444444444445,18,3.207935422230724,7.4,5
159,54,3,214,106,94,85,100,9,5.944444444444445,18,4.249182927993988,5.0,3
160,54,3,214,108,94,96,100,2,7.2,20,4.060075187273727,5.6,5
161,54,3,214,107,94,100,100,6,6.625,16,3.461695153148719,7.0,5
162,55,3,215,111,72,83,100,11,6.684210526315789,19,4.123814733134404,9.5,2
163,55,3,215,112,72,72,100,0,6.142857142857143,28,3.6282256219839977,7.0,7
164,55,3,215,113,72,65,100,7,6.944444444444445,18,3.207935422230724,7.4,5
165,56,3,216,113,74,85,100,11,6.944444444444445,18,3.207935422230724,7.4,5
166,56,3,216,110,74,84,100,10,7.238095238095238,21,3.6042303187332787,7.666666666666667,3
167,56,3,216,108,74,70,100,4,7.2,20,4.060075187273727,5.6,5
168,57,3,217,101,88,90,100,2,5.5,18,3.451342449813167,2.6666666666666665,3
169,57,3,217,109,88,81,100,7,5.0,23,3.6431754380934325,4.0,4
170,57,3,217,113,88,97,100,9,6.944444444444445,18,3.207935422230724,7.4,5
171,58,3,218,105,76,85,100,9,5.3076923076923075,13,3.1460190554788277,6.0,2
172,58,3,218,112,76,67,100,9,6.142857142857143,28,3.6282256219839977,7.0,7
173,58,3,218,104,76,82,100,6,6.37037037037037,27,3.4322917679921647,9.166666666666666,6
174,59,3,219,102,90,78,100,12,6.296296296296297,27,3.5714122913751853,8.0,5
175,59,3,219,108,90,83,100,7,7.2,20,4.060075187273727,5.6,5
176,59,3,219,107,90,95,100,5,6.625,16,3.461695153148719,7.0,5
177,60,3,220,109,78,76,100,2,5.0,23,3.6431754380934325,4.0,4
178,60,3,220,103,78,80,100,2,3.923076923076923,13,2.9569561619323586,4.333333333333333,3
179,60,3,220,112,78,89,100,11,6.142857142857143,28,3.6282256219839977,7.0,7
180,61,4,201,109,76,64,100,12,5.0,23,3.6431754380934325,6.142857142857143,7
181,61,4,201,115,76,71,100,5,6.5,24,3.451527702085103,5.666666666666667,6
182,61,4,201,114,76,85,100,9,5.066666666666666,15,3.65409098851971,5.4,5
183,62,4,202,101,87,78,100,9,5.5,18,3.451342449813167,5.5,4
184,62,4,202,104,87,87,100,0,6.37037037037037,27,3.4322917679921647,5.4,5
185,62,4,202,102,87,84,100,3,6.296296296296297,27,3.5714122913751853,4.571428571428571,7
186,63,4,203,114,73,75,100,2,5.066666666666666,15,3.65409098851971,5.4,5
187,63,4,203,115,73,83,100,10,6.5,24,3.451527702085103,5.666666666666667,6
188,63,4,203,104,73,62,100,11,6.37037037037037,27,3.4322917679921647,5.4,5
189,64,4,204,101,94,100,100,6,5.5,18,3.451342449813167,5.5,4
190,64,4,204,115,94,96,100,2,6.5,24,3.451527702085103,5.666666666666667,6
191,64,4,204,102,94,96,100,2,6.296296296296297,27,3.5714122913751853,4.571428571428571,7
192,65,4,205,102,97,88,100,9,6.296296296296297,27,3.5714122913751853,4.571428571428571,7
193,65,4,205,112,97,100,100,3,6.142857142857143,28,3.6282256219839977,4.75,4
194,65,4,205,110,97,86,100,11,7.238095238095238,21,3.6042303187332787,9.5,4
195,66,4,206,102,83,78,100,5,6.296296296296297,27,3.5714122913751853,4.571428571428571,7
196,66,4,206,113,83,75,100,8,6.944444444444445,18,3.207935422230724,8.25,4
197,66,4,206,103,83,85,100,2,3.923076923076923,13,2.9569561619323586,3.0,2
198,67,4,207,107,87,85,100,2,6.625,16,3.461695153148719,6.666666666666667,3
199,67,4,207,106,87,84,100,3,5.944444444444445,18,4.249182927993988,5.333333333333333,3
200,67,4,207,101,87,82,100,5,5.5,18,3.451342449813167,5.5,4
201,68,4,208,105,95,94,100,1,5.3076923076923075,13,3.1460190554788277,3.0,2
202,68,4,208,112,95,86,100,9,6.142857142857143,28,3.6282256219839977,4.75,4
203,68,4,208,104,95,98,100,3,6.37037037037037,27,3.4322917679921647,5.4,5
204,69,4,209,111,78,79,100,1,6.684210526315789,19,4.123814733134404,1.5,2
205,69,4,209,112,78,73,100,5,6.142857142857143,28,3.6282256219839977,4.75,4
206,69,4,209,103,78,74,100,4,3.923076923076923,13,2.9569561619323586,3.0,2
207,70,4,210,109,95,100,100,5,5.0,23,3.6431754380934325,6.142857142857143,7
208,70,4,210,110,95,90,100,5,7.238095238095238,21,3.6042303187332787,9.5,4
209,70,4,210,102,95,97,100,2,6.296296296296297,27,3.5714122913751853,4.571428571428571,7
210,71,4,211,111,90,88,100,2,6.684210526315789,19,4.123814733134404,1.5,2
211,71,4,211,107,90,83,100,7,6.625,16,3.461695153148719,6.666666666666667,3
212,71,4,211,106,90,79,100,11,5.944444444444445,18,4.249182927993988,5.333333333333333,3
213,72,4,212,112,71,69,100,2,6.142857142857143,28,3.6282256219839977,4.75,4
214,72,4,212,109,71,80,100,9,5.0,23,3.6431754380934325,6.142857142857143,7
215,72,4,212,115,71,76,100,5,6.5,24,3.451527702085103,5.666666666666667,6
216,73,4,213,115,89,93,100,4,6.5,24,3.451527702085103,5.666666666666667,6
217,73,4,213,102,89,83,100,6,6.296296296296297,27,3.5714122913751853,4.571428571428571,7
218,73,4,213,110,89,77,100,12,7.238095238095238,21,3.6042303187332787,9.5,4
219,74,4,214,109,97,100,100,3,5.0,23,3.6431754380934325,6.142857142857143,7
220,74,4,214,102,97,92,100,5,6.296296296296297,27,3.5714122913751853,4.571428571428571,7
221,74,4,214,104,97,100,100,3,6.37037037037037,27,3.4322917679921647,5.4,5
222,75,4,215,104,84,94,100,10,6.37037037037037,27,3.4322917679921647,5.4,5
223,75,4,215,108,84,78,100,6,7.2,20,4.060075187273727,4.5,2
224,75,4,215,109,84,74,100,10,5.0,23,3.6431754380934325,6.142857142857143,7
225,76,4,216,109,97,100,100,3,5.0,23,3.6431754380934325,6.142857142857143,7
226,76,4,216,108,97,100,100,3,7.2,20,4.060075187273727,4.5,2
227,76,4,216,113,97,92,100,5,6.944444444444445,18,3.207935422230724,8.25,4
228,77,4,217,113,76,84,100,8,6.944444444444445,18,3.207935422230724,8.25,4
229,77,4,217,114,76,77,100,1,5.066666666666666,15,3.65409098851971,5.4,5
230,77,4,217,110,76,86,100,10,7.238095238095238,21,3.6042303187332787,9.5,4
231,78,4,218,113,81,69,100,12,6.944444444444445,18,3.207935422230724,8.25,4
232,78,4,218,106,81,83,100,2,5.944444444444445,18,4.249182927993988,5.333333333333333,3
233,78,4,218,115,81,73,100,8,6.5,24,3.451527702085103,5.666666666666667,6
234,79,4,219,114,98,87,100,11,5.066666666666666,15,3.65409098851971,5.4,5
235,79,4,219,101,98,100,100,2,5.5,18,3.451342449813167,5.5,4
236,79,4,219,109,98,97,100,1,5.0,23,3.6431754380934325,6.142857142857143,7
237,80,4,220,114,77,73,100,4,5.066666666666666,15,3.65409098851971,5.4,5
238,80,4,220,105,77,72,100,5,5.3076923076923075,13,3.1460190554788277,3.0,2
239,80,4,220,107,77,66,100,11,6.625,16,3.461695153148719,6.666666666666667,3
240,81,5,201,112,84,82,100,2,6.142857142857143,28,3.6282256219839977,5.125,8
241,81,5,201,101,84,77,100,7,5.5,18,3.451342449813167,5.0,4
242,81,5,201,103,84,89,100,5,3.923076923076923,13,2.9569561619323586,4.5,4
243,82,5,202,108,72,69,100,3,7.2,20,4.060075187273727,7.0,2
244,82,5,202,107,72,81,100,9,6.625,16,3.461695153148719,9.0,3
245,82,5,202,103,72,80,100,8,3.923076923076923,13,2.9569561619323586,4.5,4
246,83,5,203,103,83,84,100,1,3.923076923076923,13,2.9569561619323586,4.5,4
247,83,5,203,104,83,72,100,11,6.37037037037037,27,3.4322917679921647,6.428571428571429,7
248,83,5,203,113,83,92,100,9,6.944444444444445,18,3.207935422230724,8.0,4
249,84,5,204,109,86,76,100,10,5.0,23,3.6431754380934325,5.333333333333333,3
250,84,5,204,102,86,95,100,9,6.296296296296297,27,3.5714122913751853,9.0,1
251,84,5,204,106,86,75,100,11,5.944444444444445,18,4.249182927993988,7.25,4
252,85,5,205,110,73,73,100,0,7.238095238095238,21,3.6042303187332787,6.857142857142857,7
253,85,5,205,109,73,71,100,2,5.0,23,3.6431754380934325,5.333333333333333,3
254,85,5,205,112,73,62,100,11,6.142857142857143,28,3.6282256219839977,5.125,8
255,86,5,206,104,87,81,100,6,6.37037037037037,27,3.4322917679921647,6.428571428571429,7
256,86,5,206,106,87,77,100,10,5.944444444444445,18,4.249182927993988,7.25,4
257,86,5,206,113,87,77,100,10,6.944444444444445,18,3.207935422230724,8.0,4
258,87,5,207,109,77,81,100,4,5.0,23,3.6431754380934325,5.333333333333333,3
259,87,5,207,101,77,74,100,3,5.5,18,3.451342449813167,5.0,4
260,87,5,207,110,77,87,100,10,7.238095238095238,21,3.6042303187332787,6.857142857142857,7
261,88,5,208,114,73,75,100,2,5.066666666666666,15,3.65409098851971,3.3333333333333335,3
262,88,5,208,104,73,69,100,4,6.37037037037037,27,3.4322917679921647,6.428571428571429,7
263,88,5,208,111,73,73,100,0,6.684210526315789,19,4.123814733134404,4.8,5
264,89,5,209,111,71,74,100,3,6.684210526315789,19,4.123814733134404,4.8,5
265,89,5,209,104,71,66,100,5,6.37037037037037,27,3.4322917679921647,6.428571428571429,7
266,89,5,209,112,71,76,100,5,6.142857142857143,28,3.6282256219839977,5.125,8
267,90,5,210,105,99,89,100,10,5.3076923076923075,13,3.1460190554788277,10.0,1
268,90,5,210,115,99,98,100,1,6.5,24,3.451527702085103,7.75,4
269,90,5,210,110,99,99,100,0,7.238095238095238,21,3.6042303187332787,6.857142857142857,7
270,91,5,211,114,75,75,100,0,5.066666666666666,15,3.65409098851971,3.3333333333333335,3
271,91,5,211,113,75,80,100,5,6.944444444444445,18,3.207935422230724,8.0,4
272,91,5,211,115,75,63,100,12,6.5,24,3.451527702085103,7.75,4
273,92,5,212,104,91,85,100,6,6.37037037037037,27,3.4322917679921647,6.428571428571429,7
274,92,5,212,101,91,92,100,1,5.5,18,3.451342449813167,5.0,4
275,92,5,212,111,91,98,100,7,6.684210526315789,19,4.123814733134404,4.8,5
276,93,5,213,103,79,83,100,4,3.923076923076923,13,2.9569561619323586,4.5,4
277,93,5,213,110,79,69,100,10,7.238095238095238,21,3.6042303187332787,6.857142857142857,7
278,93,5,213,112,79,79,100,0,6.142857142857143,28,3.6282256219839977,5.125,8
279,94,5,214,111,73,84,100,11,6.684210526315789,19,4.123814733134404,4.8,5
280,94,5,214,112,73,64,100,9,6.142857142857143,28,3.6282256219839977,5.125,8
281,94,5,214,106,73,72,100,1,5.944444444444445,18,4.249182927993988,7.25,4
282,95,5,215,112,91,85,100,6,6.142857142857143,28,3.6282256219839977,5.125,8
283,95,5,215,104,91,98,100,7,6.37037037037037,27,3.4322917679921647,6.428571428571429,7
284,95,5,215,101,91,82,100,9,5.5,18,3.451342449813167,5.0,4
285,96,5,216,115,98,91,100,7,6.5,24,3.451527702085103,7.75,4
286,96,5,216,113,98,90,100,8,6.944444444444445,18,3.207935422230724,8.0,4
287,96,5,216,110,98,90,100,8,7.238095238095238,21,3.6042303187332787,6.857142857142857,7
288,97,5,217,112,87,91,100,4,6.142857142857143,28,3.6282256219839977,5.125,8
289,97,5,217,108,87,98,100,11,7.2,20,4.060075187273727,7.0,2
290,97,5,217,110,87,77,100,10,7.238095238095238,21,3.6042303187332787,6.857142857142857,7
291,98,5,218,112,95,91,100,4,6.142857142857143,28,3.6282256219839977,5.125,8
292,98,5,218,110,95,85,100,10,7.238095238095238,21,3.6042303187332787,6.857142857142857,7
293,98,5,218,107,95,84,100,11,6.625,16,3.461695153148719,9.0,3
294,99,5,219,107,81,74,100,7,6.625,16,3.461695153148719,9.0,3
295,99,5,219,114,81,73,100,8,5.066666666666666,15,3.65409098851971,3.3333333333333335,3
296,99,5,219,111,81,84,100,3,6.684210526315789,19,4.123814733134404,4.8,5
297,100,5,220,106,71,64,100,7,5.944444444444445,18,4.249182927993988,7.25,4
298,100,5,220,115,71,82,100,11,6.5,24,3.451527702085103,7.75,4
299,100,5,220,104,71,77,100,6,6.37037037037037,27,3.4322917679921647,6.428571428571429,7
